id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430517,2023-11-09,Thunderbird redownloading messages Thunderbird redownloading messages ,❓;,👽;other,📮;Gmail,❓;,❓;
1430518,2023-11-09,"Unified folders I have two emails connected with unified folder concept. I do not have a problem in inbox which I do see both emails. However, I do only see one",❓;,👽;other,❓;,❓;,❓;
1430519,2023-11-09,"Suddently getting this error: ""Unable to write the email to the mailbox. Make sure the file system allows you write privileges, and you have enough disk space t",❓;,👽;other,❓;,❓;,❓;
1430521,2023-11-09,"copy and paste All of a sudden, I can't copy and paste in email ",❓;,👽;other,❓;,❓;,❓;
1430522,2023-11-09,"Lost access to all old emails Windows updated overnight. This morning I got a BSOD after a few minutes, pointing at AVG. This happened three times so I backed o",❓;,👽;other,📮;gmail,🅰;AVG,❓;
1430524,2023-11-09,Why can I not set update to only update the 1 account I am currently reading? I have 6 email accounts in my Thunderbird. Why can I not set update to only update,❓;,👽;other,📮;gmail,❓;,❓;
1430526,2023-11-09,E-mail not downloading. How may I resume receiving e-mail? ,❓;,🛠;download-and-install,❓;,❓;,❓;
1430529,2023-11-09,cannot delete old account I have two accounts on Thunderbird.  I've cancelled one via my service provider but Thunderbird keeps trying to pull emails from it.  ,❓;,👽;other,❓;,❓;,❓;
1430530,2023-11-09,"Thunderbord is ""not responding"". Thunderbird stops working permanently on Windows 10, displaying the message ""Thunderbord is not responding."" I've been having t",🪟;Windows 10,👽;other,❓;,❓;,❓;
1430532,2023-11-09,"Algumas mensagens não aparecem na caixa de entrada Eu tenho recebido algumas mensagens que não aprecem na cx de entrada, porém se eu pesquisar ela aparece e diz",❓;,👽;other,❓;,❓;,❓;
1430540,2023-11-09,"Thunderbird is very slow - lags and freezes I have used Thunderbird for years and I use it for work. For the last two days, it has started to go slow, and it wi",❓;,🚧;fix-problems,❓;,❓;,❓;
1430541,2023-11-09,"Thunderbird - Agrupados por Orden no funciona. Buenas tardes, Antes de la ultima actualización de Thunderbird a la versión Supernova, se podía organizar los cor",❓;,🚧;fix-problems,❓;,❓;,❓;
1430548,2023-11-09,"Email uodate Auto update updated on my pc to 115.4.2. This has caused my email to stop working. Can’t send or receive. It says I have no internet, but I do. All",❓;,🚧;fix-problems,❓;,❓;,❓;
1430549,2023-11-09,Thunderbird Threading Recent update switched all folder to show messages grouped into threads.  This makes it harder to find new messages.  As a result I did no,❓;,🚧;fix-problems,❓;,❓;,❓;
1430550,2023-11-09,Keyboard shortcuts missing in v115x What happened to command-1 to open a new mailbox window and command-shift-Y to fetch all new messages? Now I have to mouse t,❓;,👽;other,❓;,❓;,❓;
1430551,2023-11-09,"Mail from website Hi, I'm having a problem with my email. It comes to me through my website Bradfraser.net, and is hosted by Viux. Apparently Viux went out of b",❓;,🛠;download-and-install,❓;,❓;,❓;
1430554,2023-11-09,Problem importing calendar into Thunderbird 115.4.2 I exported (Events & Tasks->export) my calendar from my desktop and tried to import (Events & Tasks->import),❓;,📅;calendar,❓;,❓;,❓;
1430558,2023-11-09,Thunderbird not downloading email from proton server since 11/2/23--Help! I have Thunderbird configured to receive emails from Gmail and Proton mail.  My emails,❓;,👽;other,📮;Gmail,❓;,❓;
1430559,2023-11-09,Pdf Attachment won't open I recently updated to Supernova and have figured out most of the settings.  Thank you to those who helped with that.  This morning I i,❓;,🔩;customize,📮;Gmail,❓;,❓;
1430563,2023-11-09,"Task and Events pane when opened as a new window is now too small When opening an event from the calendar as a new window, the window displayed no longer shows ",❓;,📅;calendar,❓;,❓;,❓;
1430566,2023-11-09,no email Not getting my email ? ,❓;,👽;other,❓;,❓;,❓;
1430567,2023-11-09,"Cannot find the view-panel of my mails Hello, I bought a new laptop with the newest Windows 11 version and installes Thunderbird on it. Now I miss a viewing pan",🪟;Windows 11,👽;other,❓;,❓;,❓;
1430572,2023-11-09,"Copy and Paste images blocked when composing and sending email As of the most recent update, when we copy an image (Ctr C) and try to paste it (Ctr V) into a co",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430574,2023-11-09,Can't update my password on Thunderbird 115 Every year I am required to update my university's net id password.  Normally T'bird responds asking for a password ,❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430576,2023-11-09,Having problems with the size of windows in Thunderbird When I open the Address book or Contacts windows they are very large and don't even fit into my 24 inch ,❓;,👽;other,❓;,❓;,❓;
