id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430617,2023-11-10,segnalazione bug Con la nuova versione la modalità unificata non funziona più Cordiali Saluti e grazie ,❓;,👽;other,❓;,❓;,❓;
1430618,2023-11-10,I somehow activated the number of emails and their volume used and can't find a way to undo this. This ad annoys me. I have win 11/64-bit and Thunderbird 115.4.,🪟;win 11,👽;other,❓;,❓;,❓;
1430620,2023-11-10,erro no e-mail Meu e-mail está dando a seguinte mensagem: O envio da senha para o usuário francieli@jdbcontabilidade.com.br não obteve sucesso. O servidor de em,❓;,🚧;fix-problems,❓;,❓;,❓;
1430623,2023-11-10,"How can I remove the latest update (115.4.1)? I just downloaded the update (115.4.1), which has caused all kinds of problems.  I can no longer automatically con",❓;,🛠;download-and-install,❓;,❓;,❓;
1430626,2023-11-10,Thunderbird editor fonts The latest version of Thunderbird shows fonts in the editor window much smaller than they actually are.  Was working fine until the mos,🐧;Linux,👽;other,📮;gmail,🇪;eset,❓;
1430631,2023-11-10,"Thunderbird update sorts search results by thread not by date I have been using Thunderbird for many years, and really like it - until two recent updates (sorry",🐧;Ubuntu,🔩;customize,❓;,❓;,❓;
1430633,2023-11-10,"Leaving Thunderbord on Overnight and resuming work the next day, The tabs will not stay saved and open I work with my tabs a lot.  When I open an attachment, Th",❓;,🚧;fix-problems,❓;,❓;,❓;
1430634,2023-11-10,No longer loving Thunderbird I have decided to  set Thunderbird aside for now.  Just too many things to fix.  I can no longer insert a picture into the email I ,❓;,🔩;customize,❓;,❓;,❓;
1430635,2023-11-10,Unable to send emails I have two email addresses and I am unable to send any messages with one.  I can receive emails on both accounts.  Both accounts have all ,❓;,👽;other,❓;,❓;,❓;
1430636,2023-11-10,"Thunderbird, appena installato, calendario non sincronizza con google calendar. Configurazione calendario google dentro thunderbird NON FUNZIONA. ",❓;,📅;calendar,❓;,❓;,❓;
1430638,2023-11-10,"Error en la recepción de correos electrónicos, 002_NextPartxxxxx. Saludos comunidad, Adjunto la siguiente imagen del presente problemas que tengo con varios de ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430639,2023-11-10,"SMTP server fails authentication I am trying to add a MS365 mail account to Thunderbird 115.4.2 and keep getting a mail fail message, telling me the login faile",❓;,👽;other,💌;MS365,❓;,❓;
1430641,2023-11-10,.Thunderbird Trash is empty Just upgraded Thunderbird.  The trash is empty.  When I delete a new message it does not appear in Trash.  Help please ,❓;,👽;other,❓;,❓;,❓;
1430642,2023-11-10,"Lost emails Since the latest 'update' I am randomly having trouble finding saved emails. I save them to a subfolder, 'receipts' for example. When I go and look ",❓;,🚧;fix-problems,❓;,❓;,❓;
1430644,2023-11-10,"Emails aren't coming through I am trying to set up MailerLite for my website email list. Whenever I send the verification email from MailerLite, it doesn't reac",❓;,👽;other,❓;,❓;,❓;
1430648,2023-11-10,"ever since the last auto update i have 2 emails showing on the page ,the top one dosent work . How can i get ridd of the 2nd email that came up on my page after",❓;,👽;other,❓;,❓;,❓;
1430649,2023-11-10,"Posta elettronica Da qualche tempo quando elimino una mail mettendola nel cestino, la funzione si blocca per parecchio tempo prima di spostarla nel cestino. Chi",❓;,🚧;fix-problems,❓;,❓;,❓;
1430651,2023-11-10,Changes to Thunderbird I've noticed that update 115.4.2 to Thunderbird has changed how Thunderbird looks and functions.  This version is not like 102.15.1.  I l,❓;,👽;other,❓;,❓;,❓;
1430654,2023-11-10,"Upgrade to 64 bit created second set of local folders, one with most of my messages, the other with some messages. How to I unify the folders. How do I unify tw",❓;,🛠;download-and-install,❓;,❓;,❓;
1430655,2023-11-10,I need to recover Local Folder after hard drive crash. I was able to copy my local folder to an external drive but the /user directory was unreadable.  Help! Af,❓;,👽;other,❓;,❓;,❓;
1430656,2023-11-10,thunderbird freeze Why does thunderbird freeze when left idle too long ,❓;,🚧;fix-problems,❓;,❓;,❓;
1430657,2023-11-10,Remove a Holiday Calendar from Thunderbird I added the United States Holiday Calendar to my Thunderbird Calendar.  As it has zilliions more holidays than I care,❓;,📅;calendar,❓;,❓;,❓;
1430658,2023-11-10,"Cannot send messages, response ""Client host rejected: cannot find Your hostname"" My Thunderbird client has worked thus far. Now I cannot send messages from my """,❓;,👽;other,❓;,❓;,❓;
1430660,2023-11-10,"Thunderbird no sincroniza y ha dejado de recibir y enviar email Hola, espero que me podáis ayudar. De un día para otro los emails que tengo en Thunderbird, no s",❓;,🚧;fix-problems,❓;,❓;,❓;
1430661,2023-11-10,"Problema con Thunderbird Thunderbird instalado en Windows 10 se cae permanantemente, despues d euna rato de funcionar windows informa que no responde y no hay c",🪟;Windows 10,👽;other,❓;,❓;,❓;
1430667,2023-11-10,Email files Hi I had a complete shutdown of my laptop either caused by Dell or a virus (although no sign of a virus). I had no choice but to save most files ont,🪟;Windows 10,🛠;download-and-install,❓;,❓;,❓;
1430668,2023-11-10,"Synching with Google Calendar Thunderbird calendar works fine and immediately post new entries on google calendar, however if I enter it on google, it will not ",❓;,📅;calendar,❓;,❓;,❓;
1430671,2023-11-10,why does Thunderbird request that I log in to Google? I'm not using it to access Gmail. Why does Thunderbird request that I log in to Google each time I start i,❓;,🛠;download-and-install,📮;Gmail,❓;,❓;
1430677,2023-11-10,"Where did option to get new messages from a single account go? I have multiple email accounts grouped under the local folder.  When I request messages, it doesn",❓;,🔩;customize,❓;,❓;,❓;
1430678,2023-11-10,"Deleting account Does ""remove account"" under ""Account Actions"" remove just that account or all of them?  In other words, I have 4 accounts (email addresses).  W",❓;,👽;other,❓;,❓;,❓;
1430679,2023-11-10,"Encoding choice is not available and the subject of email is unreadable Hello,  I am using Thunderbird 115.4.2 (64-bit) on Win10. Some of my emails have those s",🪟;Win10,🚧;fix-problems,❓;,❓;,❓;
1430681,2023-11-10,"alias Hello,  I have several email aliases in Thunderbird but I am unable to send email as from the aliases. The pull down menu for sender does not have the ali",❓;,🔩;customize,❓;,❓;,❓;
