id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome
1430112,2023-11-06,Undismissable calendar reminders (birthdays) Question (Windows): I have a reminder pop-up for past birthdays from my calendar (synced from a self-hosted Yunohos,❓;,📅;calendar,❓;,❓;,❓;
1430193,2023-11-06,"Autenticação no servidor falhou Prezados, boa tarde. Tudo bem? Estou há uma semana com problemas no meu email, quanto a autenticação. Estava utilizando normalme",❓;,🔏;privacy-and-security,❓;,❓;,❓;
1430194,2023-11-06,"Folder shows ""Unread"" messages, but none are shown inside I use multiple folders and subfolders in TB.  Since the major update a month ago things have gone stra",🐧;Linux,👽;other,❓;,❓;,❓;
1430195,2023-11-06,"ricerca globale Dopo l'ultimo aggiornamento alla versione 115.4.1 non funziona più la ricerca globale, non apre l'anteprima degli indirizzi che corrispondono al",❓;,🚧;fix-problems,❓;,❓;,❓;
1430196,2023-11-06,"cadastar conta gmail no thunderbird Boa Tarde. Não consigo cadastrar nenhuma conta do gmail no thunderbird, estou usando o windows 11. ",🪟;windows 11,🛠;download-and-install,📮;gmail,❓;,❓;
1430200,2023-11-06,"Thunderbird no longer sending mail Hello, I have used Thunderbird for my Virgin Media email account for many years ago, always easily and happily. However, as o",🪟;Windows 11,👽;other,❓;,🇪;eset,❓;
1430201,2023-11-06,"mail-boxes loose ""focus"" while Remote Desktoping I use Thunderbird for many years on my Windows machine, and I have it serving several e-mail boxes (hotmail, gm",❓;,👽;other,📮;gmail,❓;,❓;
1430203,2023-11-06,"In Windows 10, in the folder pane, pressing ""Pg Dn"" key scrolls the folder pane to the bottom of the list of folders instead of just to the next page of folders",🪟;Windows 10,🔩;customize,❓;,❓;,❓;
1430204,2023-11-06,"Ctrl-C does not work after 115 update If you ""select all"" in any email, I always used to be able to use Ctrl-C on my keyboard to copy, then paste the email into",❓;,🚧;fix-problems,❓;,❓;,❓;
1430207,2023-11-06,"E-mail Boa tarde Desde a última sexta-feira, dia 03/11/2023 não estou conseguindo ENVIAR e-mails. O recebimento de e-mails está normal. Alguém pode dar uma ajud",🪟;Windows 10,👽;other,📮;gmail,❓;,❓;
1430208,2023-11-06,Disable threads Hi! :) I love Thunderbird! But how do I disable threads on all my emails? Thanks in advance! Peter :) ,❓;,🔩;customize,❓;,❓;,❓;
1430210,2023-11-06,"Resent Update Right after the recent update (Nov 2023) 2 of my 6 @cox.net accounts were unable to receive emails, but they could still send them. How do I fix t",❓;,👽;other,❓;,❓;,❓;
1430213,2023-11-06,How do I tag my messages after reading? It looks like I have a new Thunderbird  (below).  It used to be that I was able to find the 'tag' feature up above on th,❓;,🔩;customize,❓;,❓;,❓;
1430214,2023-11-06,Grouping of emails in inbox My incoming emails are now being grouped together when they are related to one sender or topic.  How can I revert to all incoming em,❓;,👽;other,❓;,❓;,❓;
1430216,2023-11-06,"New Thunderbird update is VERY SLOW After latest update to Thunderbird (115.4.1 (64-bit)), it's unacceptably slow.  My mother also has new laptop and it's the s",❓;,🚧;fix-problems,💌;Outlook,❓;,❓;
1430217,2023-11-06,opening some attachments on my smart phone (samsung) my email is synced from my desktop to my phone. emails forward automatically. when an email has an attachme,❓;,👽;other,❓;,❓;,❓;
1430219,2023-11-06,Issues with latest thunderbird version I have seen some emails are not shown properly. I am attaching screenshots of the same email in gmail android view and PC,❓;,🚧;fix-problems,📮;gmail,❓;,❓;
