id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags
1429660,2023-11-01,nao comsigo envia mesagem thunderbird bom dia nao consigo envia mesagem no thunderbird ,❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429661,2023-11-01,"Hotmail I use both gmail and hotmail with Thunderbird.  When I send a Hotmail message, the recipient's inbox shows the note came from gmail.  So, when they resp",❓;,👽;other,📮;gmail,❓;,❓;,other;
1429663,2023-11-01,As of 2 days ago I am unable to send emails using my Thunderbird client. I have Thunderbird 115.4.1 as of 2 days ago I have been unable to send any emails.  I h,❓;,👽;other,💌;Spectrum,❓;,❓;,other;
1429664,2023-11-01,Can't Send Emails Can receive but unable to send emails - SMTP - AUP#out-1500 Thunderbird version 115.4.1 Windows 11 Windows Defender Spectrum provider - Can se,🪟;Windows 11,👽;other,💌;Spectrum,🇩;Defender,❓;,other;
1429665,2023-11-01,New Version of Thunderbird I inadvertently downloaded the latest version of Thunderbird. I wish to change the Inbox view to the old version where  above the:  F,❓;,👽;other,❓;,❓;,❓;,other;
1429666,2023-11-01,"Delete Button in ""Message List Display"" Is there a way to add a delete button to the top row of each message in the Message Display List? I've added a screen sh",❓;,🔩;customize,❓;,❓;,❓;,customize;
1429667,2023-11-01,Transferring 75k Emails Back Into New Gmail Folder I successfully uploaded the mbox folder into my local folder and currently there are 75k emails. I drag and d,❓;,🛠;download-and-install,📮;Gmail,❓;,❓;,download-and-install_1;
1429674,2023-11-01,Supernova 115*  How to reduce the spacing in the Message Header area. The 'Message Header' is the area above where the message content of an opened email is dis,❓;,🔩;customize,❓;,❓;,🪛;userChrome,customize;userchromecss;tb115;messagepane;
1429675,2023-11-01,"Search (CTRL + K) and old email addresses Hello In the new version of Thunderbird, I noticed a search window at the top of the page When I try to use it, it pro",❓;,🔩;customize,❓;,❓;,❓;,customize;
1429680,2023-11-01,"Can't find unsent message Whenever I start Thunderbird I eventually get a message, ""Sending of the message failed"". Please see image attached. I can't find the ",❓;,👽;other,❓;,❓;,❓;,other;
1429681,2023-11-01,Can't remove email account from Thunderbird There is an email account profile on my Thunderbird email program and I simply cannot get rid of it. I have tried ev,❓;,👽;other,❓;,❓;,❓;,other;
1429683,2023-11-01,Mail Delivery Failed. 550. Message rejected I need to figure out how to resolve this because I'm getting 100s of them. Will somebody please call me at  [removed,❓;,👽;other,❓;,❓;,❓;,other;
1429685,2023-11-01,Attn:Admin  Thunderbird 'Message List Pane' restore to previous settings? Could you PLEASE get this 'Message List Pane' restored to the way it was! With SuperNo,❓;,🔩;customize,❓;,❓;,❓;,customize;
1429686,2023-11-01,"Shortcut for ""Show Remote Content for this Message""? Hi, all, I like that Thunderbird doesn't permit remote content by default. But when I want to see remote co",❓;,🔩;customize,❓;,❓;,❓;,customize;
1429689,2023-11-01,"Hugo R.González B. He actualizado a la última versión 115.4.1 supernova, pero ahora no muestra los mensajes descargados anteriormente, necesito consultar alguno",❓;,👽;other,📮;gmail,❓;,❓;,other;
1429691,2023-11-01,Keep POP3 or change to IMAP I read the Thunderbird article https://support.mozilla.org/en-US/kb/difference-between-imap-and-pop3 but I'm not sure what to do. I ,❓;,👽;other,📮;Gmail,❓;,❓;,other;
1429695,2023-11-01,"Export a specific folder from Thunderbird Hi, I am running out of space in my email account. Is it possible to export specific folders of emails out, so that I ",❓;,👽;other,❓;,❓;,❓;,other;
1429697,2023-11-01,"Paypal donations not working I have been trying to use Paypal to donate to Thunderbird.   It just keeps giving error message ""something went wrong""   The Contac",❓;,👽;other,❓;,❓;,❓;,other;paypal;tbdonorcare;
1429700,2023-11-01,Screen resolution problem When the new bird upgraded the resolution of the program got messed up.  Works on my laptop but not my desktop which uses a fairly old,❓;,👽;other,❓;,❓;,❓;,other;
1429701,2023-11-01,password problem Hi my wife has a thunderbird email account fleetforty@blueyonder.co.uk. Old computer hard drive crashed no longer works in any way. Bought new ,❓;,👽;other,❓;,❓;,❓;,other;
1429702,2023-11-01,"Falha ao enviar mensagem Olá, bom dia / boa tarde, Recentemente foi instalado o Thunderbird em um desktop com Windows 10 Pro, e foram adicionadas três contas de",🪟;Windows 10,🚧;fix-problems,📮;Gmail,❓;,❓;,fix-problems;
1429705,2023-11-01,"Where are my addresses and my local folders? Today it was a new version of Thunderbird on my screen, all my addresses was gone as all my local folders, how do I",❓;,👽;other,❓;,❓;,❓;,other;
1429706,2023-11-01,hosting provider for IMAP email with Thunderbird client I want to move my email and website from problematic hosting by Startlogic to a new hosting provider. Go,❓;,🛠;download-and-install,💌;GoDaddy,❓;,❓;,download-and-install_1;
1429708,2023-11-01,"(Non-obvious) email provider password change problem There are a lot of questions that start with something like ""My email provider has changed my password"" or ",❓;,🔏;privacy-and-security,🇾;Yahoo,❓;,❓;,privacy-and-security_1;
1429709,2023-11-01,I can't send email I've been using Thunderbird with this same email info and settings for years with no problems. Suddenly today I couldn't send emails on any o,❓;,👽;other,💌;roadrunner,❓;,❓;,other;
1429710,2023-11-01,nao comsigo envia mesagem thunderbird boa noite nao comsigo envia mesagem da erro ,❓;,🚧;fix-problems,❓;,❓;,❓;,fix-problems;
1429711,2023-11-01,"Mail Manager Outlook Add in with Thunderbird I am using Thunderbird to get notifications of emails, however when I store an email using Mail Manager, Thunderbir",❓;,👽;other,💌;Outlook,❓;,❓;,other;
1429712,2023-11-01,Duplicate messages for pop gmail account. [was So when is the very nice team from Thunderbird gonna solve duplicates issue at once and for all?]  So when is the,🍎;Ventura,🚧;fix-problems,📮;gmail,❓;,❓;,fix-problems;
1429713,2023-11-01,"Message Filters Just downloaded the latest version and set it up on my two Apple systems. A 2020 M1 MacBook Pro, and an Intel 2014 Mac mini. Did the install/set",❓;,🛠;download-and-install,❓;,❓;,❓;,download-and-install_1;
1429715,2023-11-01,Can't Right-Click Open Context Menu in SAVED EMAILS unless Thunderbird Client is Also Open Hi: I've had this problem ever since Thunderbird did its big update s,❓;,🔩;customize,💌;Outlook,❓;,❓;,customize;
1429716,2023-11-01,"recovery of email: nikkisartworks@hotmail.com nikkisartworks@hotmail.com is my email address and seems to be stuck or crashed at October 1,2023. I want it to wo",❓;,🚧;fix-problems,💌;hotmail,❓;,❓;,fix-problems;
1429719,2023-11-01,Creating Filter - Can't see all folders to direct messages I am creating filters to direct some of my incoming mail from the inbox to specific folders where I c,❓;,👽;other,❓;,❓;,❓;,other;
