id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1422041,2023-08-24,"Mail fails to send ""Authentication required"" in Thunderbird 115.1.1 (64 Bit) I I can receive mail but cannot send. I had no problems until ver. 115 was installe",🪟;windows-10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,desktop;other;windows-10;firefox-1160;,2023-08-23 18:24:59 -0700
1422043,2023-08-24,"Remove ""All Mail"" folder I just added TBird 115.1.1, added to a new Windows 10 PC.  5 accounts, 2 gmail, 2 hotmail, 1 live. One of the gmails has a folder ""All ",🪟;Windows 10;os:win10,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-23 18:54:10 -0700
1422075,2023-08-24,How to delete more than one email at a time How to delete more than one email at a time ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-24 07:54:37 -0700
1422077,2023-08-24,"message pane always active I do not want to view the message pane and I disabled it. But it always comes back. Earlier, somebody posted : Try this: Help/Trouble",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 08:14:55 -0700
1422078,2023-08-24,Purevpn & TB I did use PIA vpn but switched to Pure vpn. TB won't send any messages when the vpn is connected. What ports am I to be using? What's wrong? Thanks,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 08:22:41 -0700
1422079,2023-08-24,Message Thread has Messages that are not part of the thread I have message threads that contain messages that are not part of the thread.  I don't know how they,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-24 08:32:10 -0700
1422083,2023-08-24,eMail redesigned mesage reader Not a big fan of the redesigned message header.  Now opens a separate window causing unnecessary clutter. Font size so little I c,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 09:13:27 -0700
1422084,2023-08-24,Thunderbird Email becomes Non-reponsive I am having continual issues with Thunderbird going non-responsive for several seconds frequently whenever an action is ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 09:26:20 -0700
1422091,2023-08-24,"(accessibility) Help, how do i get rid of new buttons in v115, they are in my tab order and slow me down. Hello I am a screen reader user, using the keyboard an",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 10:46:07 -0700
1422095,2023-08-24,"Inbox all White My inbox is all white, I cannot see the list of all my emails however I can see the message when I click into each message. When I click on my o",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-24 12:46:58 -0700
1422098,2023-08-24,"Yahoo now asking for credentials AND cookies Other people had this problem in 2022, but my problem seems to be a little bit different. When I click ""Get Message",❓;;os:unknown,🚧;fix-problems;t:fix_problems,🇾;Yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-24 13:47:21 -0700
1422102,2023-08-24,"TB Data Transfer from broke computer First, thank you so much for any help. So unfortunately my laptop died and I have been trying for hours unsuccessfully to t",🪟;Windows 11;os:win11,🛠;download-and-install;t:download_and_install,💌;Verizon;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-24 14:36:41 -0700
1422113,2023-08-24,"Thunderbird Hi, I am having problems with my Thunderbird. It generates by itself ""sent"" and ""inbox"" folders which are turning up in various sub-folders. I will ",🪟;Windows10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-24 16:55:53 -0700
