id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1432692,2023-12-02,"Thunderbird Primary Password Help Hi there,  My grandmother on this account keeps receiving a enter primary password alert on her Thunderbird / Bigpond account.",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🇪;eset;av:eset,❓;;uc:unknown,fix-problems;,2023-12-01 17:59:16 -0800
1432729,2023-12-02,"How to set ""Helper Applications"" for opening attachements in Thunderbird 115 Supernova For some reason Thunderbird 115 Supernova has lost the ability to open at",🐧;Ubuntu;os:linux,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 06:48:59 -0800
1432740,2023-12-02,Unable to send messages Since the update yesterday (1st December) neither my wife nor I (on different machines) have been able to send emails - the response is ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-02 08:04:09 -0800
1432741,2023-12-02,Choosing to send deleted mail to a local folder when working with IMAP setup. In previous versions of TB there was an option to select a different folder under ,🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 08:33:01 -0800
1432742,2023-12-02,Thunderbird stop receiving emails from optmum after update to 102.15.0 from 102.14.0 . Went back to older version and lost all my emails prior to 7/2/2023 Is Mo,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 08:36:13 -0800
1432743,2023-12-02,Halvní nabídka v Thunderbird Jak můžu dostat Hlavní nabídku opět nahoru nad nástrojovou lištu. Po aktualizaci mě zobrazení nevyhovuje. Děkuji ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 08:44:37 -0800
1432745,2023-12-02,"Thunderbird 115.5.1 will not configure email accouts My email accounts were moved to a new server, and the outgoing and incoming settings changed along with my ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 08:54:25 -0800
1432748,2023-12-02,115.5.1 update.  Thunderbird not accessing email servers Hi all. Why did Mozilla move to an update that doesn't work? 115.5.1 update.  Thunderbird not accessing,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Hotmail;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-12-02 09:13:52 -0800
1432750,2023-12-02,"How do I place all replies in my online SENT folder? I've been using Thunderbird for over a year now (oh, how I miss Eudora!) and the one continual irritation I",❓;;os:unknown,🔩;customize;t:customize,📨;Protonmail;m:protonmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 09:22:49 -0800
1432751,2023-12-02,Login to server mail.charter.net with username rikmay failed. Get above message when trying to login to Thunderbird. ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 09:42:09 -0800
1432752,2023-12-02,"Unable to properly forward HTML items. I've snooped the Help section but can't find/understand an answer!   I have my Composition set to Default, but whenever I",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 10:07:07 -0800
1432754,2023-12-02,"add our own Oauth2 provider, clientID, clientSecret, ... Hello. I have my own self hosted mail server and I would like to use OIDC/Oauth2 authentification anbd ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 10:11:10 -0800
1432755,2023-12-02,New Thunderbird 115.4.3 (32 bit) bold font is too thick! New Thunderbird 115.4.3 (32 bit) bold font is too thick! Can we reduce the font thickness I find it har,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 10:38:26 -0800
1432757,2023-12-02,"Archive problem. My Archive folder doesn't do anything, ever. It has the numeral 2 on it but I can't access them ? Please help. ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 10:41:45 -0800
1432758,2023-12-02,Changing local folder pointers Running Thunderbird 115.5.1 (64-bit). Need to move the local folder from the C drive to the D drive. Have copied the profile fold,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-12-02 10:49:51 -0800
1432759,2023-12-02,"changing imap server and disapearing search folders...? Hi Folks, I had a fairly sophisticated set of Search Folders set up on custom tags - I guess, long story",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 10:51:49 -0800
1432760,2023-12-02,"avvio automatico di Thunderbird all'avvio di Windows Buonasera, all'interno del menu impostazioni, non ho trovato una voce per far si che Thunderbird venga avvi",🪟;Windows 10;os:win10,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-12-02 11:10:38 -0800
1432761,2023-12-02,for about the last two weeks sending of emails take several tries. They time out or say the outgoing server can't be found We have around 16 email accounts at o,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 11:27:35 -0800
1432768,2023-12-02,"misaligned emails: title doesn't open correct text Some email listings do not open the correct email text.  However, this doesn't apply to all the emails.  Some",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 13:53:09 -0800
1432769,2023-12-02,exchange email on ubuntu buen dia. quiero usar mi TB en ubuntu con un correo exchange microsoft 365 pero no puedo enviar correos ,🐧;ubuntu;os:linux,👽;other;t:other,💌;microsoft 365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 14:03:54 -0800
1432770,2023-12-02,"Can't use edited email list, get error ""Choir-2023 <Choir members> is not a valid email address because it is not of the form user@host. You must correct it bef",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-12-02 14:07:09 -0800
1432772,2023-12-02,"Font size issue in the message view Dear support, I installed recently Thunderbird 115.5.0 (64-bit) on my laptop running Debian 12. I have a problem with the fo",🐧;Debian;os:linux,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,🪛;userChrome;uc:unsupported_customization,customize;,2023-12-02 14:24:24 -0800
