id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1431316,2023-11-18,account i am unable to get in my account ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-17 17:21:31 -0800
1431344,2023-11-18,"Recent Nov., 2023 Update Caused Thunderbird to fail on sending/receiving email I recently updated to the new version of Thunderbird.  I now cannot send, or rece",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,🇧;Bitdefender;av:bitdefender,❓;;uc:unknown,other;,2023-11-18 00:07:02 -0800
1431347,2023-11-18,UNABLE TO DELETE MESSAGES FROM MY INBOX UNABLE TO DELETE MESSAGES FROM MY INBOX I have a problem with being unable to delete messages from my in box. I have sea,🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 00:23:46 -0800
1431353,2023-11-18,arrangement of email I want for my email to come in according to who it is from and the FROM option seems to be grayed out and not accessible to me. How do I ch,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-18 02:08:09 -0800
1431355,2023-11-18,"Adding a new Outlook e-mail address to Thunderbird Hi, I'm trying to add a new Outlook e-mail address to Thunderbird but I keep getting the following message: """,❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 02:29:45 -0800
1431356,2023-11-18,end to end encryption removed I set up end to end encryption because it seemed to be a good idea. But I cannot send any emails that are encrypted. I have earthl,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 02:54:15 -0800
1431357,2023-11-18,Unable to log in at server. I have tried multiple suggestions from the help site. Still cannot get Thunderbird to accept settings -   Protocol:    IMAP  Hostnam,❓;;os:unknown,🛠;download-and-install;t:download_and_install,🇾;yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-18 03:15:12 -0800
1431359,2023-11-18,iCloud CalDav Password Error I had to change my iCloud password. Now I get the an iCloud CalDav Password Error.  I enter my new iCloud Password but it doesn't d,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-11-18 03:39:54 -0800
1431361,2023-11-18,v115 will not work on my desktop computer.  (i7 Windows 10) I had to reinstall 102 and lost some emails. I installed it on my laptop and it links to my Local Fo,🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 04:04:41 -0800
1431362,2023-11-18,"how to blacklist incoming email Can anyone tell me how to blacklist incoming emails from selected addresses? I can get T-bird to send unwanted emails to the ""Ju",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-11-18 04:25:14 -0800
1431363,2023-11-18,EMails I need to send the same request by email on Thunderbird every 28 days. Can this be set to send automatically? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 04:33:31 -0800
1431365,2023-11-18,"I lost my files after the recent upgrade. How can I get them back? After the recent Thunderbird upgrade, I lost my files. Help me recover them please ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 05:21:28 -0800
1431368,2023-11-18,Personal Trash vs. Local Folder Trash Somehow I moved many messages from [my account’s] Trash to Local Folders Trash and would like to restore them on a folder ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 05:58:04 -0800
1431370,2023-11-18,"The most fucked up email client on earth. Trying to change the name of my chat, which the program says is not an allowed name ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 07:04:54 -0800
1431372,2023-11-18,"Error message ""Not Implemented"" when trying to attach a word doc -- solution I found for my case I came here yesterday because of receiving the error message ""N",🪟;Win 11;os:win11,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-18 07:45:36 -0800
1431373,2023-11-18,IMAP vs.  POP3 My husband has Thunderbird for his emails.   I am trying to set up Thunderbird for my emails.   I am not able to get past the point where you mus,❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-18 07:55:16 -0800
1431374,2023-11-18,Revert to the previous Thunderbird How can I go back to the previous version of Thunderbird. The new format is not working out for me. I've tried to change the ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-11-18 07:55:48 -0800
1431379,2023-11-18,"custom colours do not hold When the new version of Thunderbird came out, the custom colours would no longer hold.  How do I make them stick? ",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-18 09:44:23 -0800
1431381,2023-11-18,Thunder bird 115.4.3 not reporting correct number of unread emails. Thunderbird 115.4.3 is not reporting the correct number of unread emails. Sometimes it says ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-11-18 10:26:04 -0800
1431382,2023-11-18,folder settings what setting do I use to have the list of sub-folders display when the folder is selected instead of having it display when ever the cursor happ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-11-18 11:32:40 -0800
1431384,2023-11-18,Moving Thunderbird to New PC The hard drive on my PC running Windows 10 crashed and I have a new one running Windows 11.  I used Thunderbird on the old PC and a,🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,💌;verizon;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-11-18 12:39:06 -0800
